motor_name,avg_voltage_v,prop,prop_model,throttle_pct,thrust_g,voltage_v,current_a,power_w,efficiency_gw,rpm
XING2 3314 900KV,23.83,10.0x4.5x3,,50.0,1358.0,24.02,11.79,283.2,4.8,
XING2 3314 900KV,23.83,10.0x4.5x3,,60.0,1972.0,23.93,17.83,426.7,4.62,
XING2 3314 900KV,23.83,10.0x4.5x3,,70.0,2558.0,23.81,26.11,621.7,4.12,
XING2 3314 900KV,23.83,10.0x4.5x3,,80.0,3191.0,23.66,36.63,866.7,3.68,
XING2 3314 900KV,23.83,10.0x4.5x3,,90.0,3633.0,23.5,48.14,1131.3,3.21,
XING2 3314 900KV,23.83,10.0x4.5x3,,100.0,4191.0,23.36,58.48,1366.1,3.07,
XING2 3314 900KV,23.83,8.0x4.0x3,,50.0,689.0,24.1,6.16,148.5,4.64,
XING2 3314 900KV,23.83,8.0x4.0x3,,60.0,977.0,24.05,9.41,226.3,4.32,
XING2 3314 900KV,23.83,8.0x4.0x3,,70.0,1297.0,23.98,13.57,325.4,3.98,
XING2 3314 900KV,23.83,8.0x4.0x3,,80.0,1656.0,23.91,18.79,449.3,3.69,
XING2 3314 900KV,23.83,8.0x4.0x3,,90.0,2034.0,23.82,25.07,597.2,3.41,
XING2 3314 900KV,23.83,8.0x4.0x3,,100.0,2355.0,23.74,30.28,718.8,3.28,
XING2 3314 900KV,23.83,9.0x4.0x3,,50.0,956.0,24.06,8.34,200.7,4.76,
XING2 3314 900KV,23.83,9.0x4.0x3,,60.0,1341.0,24.0,12.73,305.5,4.39,
XING2 3314 900KV,23.83,9.0x4.0x3,,70.0,1755.0,23.92,18.32,438.2,4.0,
XING2 3314 900KV,23.83,9.0x4.0x3,,80.0,2269.0,23.81,25.59,609.3,3.72,
XING2 3314 900KV,23.83,9.0x4.0x3,,90.0,2787.0,23.69,34.2,810.2,3.44,
XING2 3314 900KV,23.83,9.0x4.0x3,,100.0,3213.0,23.59,41.44,977.6,3.29,
XNOVA 2207 2050KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,15.0,55.0,22.2,0.7,15.54,3.539,
XNOVA 2207 2050KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,20.0,125.0,22.2,1.46,32.41,3.857,
XNOVA 2207 2050KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,25.0,180.0,22.2,2.68,59.5,3.025,
XNOVA 2207 2050KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,30.0,275.0,22.2,4.28,95.02,2.894,
XNOVA 2207 2050KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,35.0,454.0,22.2,6.24,138.53,3.277,
XNOVA 2207 2050KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,40.0,554.0,22.2,9.11,202.24,2.739,
XNOVA 2207 2050KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,45.0,663.0,22.2,10.76,238.87,2.776,
XNOVA 2207 2050KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,50.0,784.0,22.2,12.53,278.17,2.818,
XNOVA 2207 2050KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,55.0,860.0,22.2,14.71,326.56,2.634,
XNOVA 2207 2050KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,60.0,942.0,22.2,16.65,369.63,2.548,
XNOVA 2207 2050KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,65.0,1072.0,22.2,19.53,433.57,2.472,
XNOVA 2207 2050KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,70.0,1154.0,22.2,23.49,521.48,2.213,
XNOVA 2207 2050KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,75.0,1316.0,22.2,27.75,616.05,2.136,
XNOVA 2207 2050KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,80.0,1488.0,22.2,31.75,704.85,2.111,
XNOVA 2207 2050KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,85.0,1584.0,22.2,36.9,819.18,1.934,
XNOVA 2207 2050KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,90.0,1736.0,22.2,46.06,1022.53,1.698,
XNOVA Cinelifter 3220 490KV,50.4,10.0x5.0x3,,10.0,156.0,50.4,0.38,19.15,8.15,
XNOVA Cinelifter 3220 490KV,50.4,10.0x5.0x3,,20.0,416.0,50.4,1.17,58.97,7.05,
XNOVA Cinelifter 3220 490KV,50.4,10.0x5.0x3,,30.0,893.0,50.4,2.87,144.65,6.17,
XNOVA Cinelifter 3220 490KV,50.4,10.0x5.0x3,,40.0,1630.0,50.4,6.3,317.52,5.13,
XNOVA Cinelifter 3220 490KV,50.4,10.0x5.0x3,,50.0,2220.0,50.4,9.76,491.9,4.51,
XNOVA Cinelifter 3220 490KV,50.4,10.0x5.0x3,,60.0,3120.0,50.4,16.48,830.59,3.76,
XNOVA Cinelifter 3220 490KV,50.4,10.0x5.0x3,,70.0,4020.0,50.4,23.87,1203.05,3.34,
XNOVA Cinelifter 3220 490KV,50.4,10.0x5.0x3,,80.0,4700.0,50.4,32.74,1650.1,2.85,
XNOVA Cinelifter 3220 490KV,50.4,10.0x5.0x3,,90.0,5200.0,50.4,41.08,2070.43,2.51,
XNOVA Cinelifter 3220 490KV,50.4,10.0x5.0x3,,100.0,5950.0,50.4,51.65,2603.16,2.29,
